ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
1,1,1369,0,0,0
1,1,1444,0,0,0
1,1,1449,8,4,4
1,1,1611,3,1,2
1,1,1601,11,8,3
1,1,20627,149,76,73
1,1,1639,6,3,3
1,1,971,12,5,7
1,1,1001,7,2,5
1,1,1168,2,0,2
1,1,14866,271,146,125
1,1,2589,49,25,24
1,1,4515,176,93,83
1,1,2451,12,7,5
1,1,1706,3,2,1
1,1,1300,11,8,3
1,1,1259,30,16,14
1,1,3310,14,7,7
1,1,3144,23,15,8
1,1,2495,6,3,3
1,1,1922,17,4,13
1,1,1120,5,2,3
1,1,1461,6,3,3
1,1,1036,18,8,10
1,1,2344,5,1,4
1,1,4076,32,11,21
1,1,3324,50,30,20
1,1,3263,23,6,17
1,1,5085,50,22,28
1,1,4610,60,30,30
1,1,4175,7,1,6
1,1,2249,14,6,8
1,1,1096,0,0,0
1,1,4144,34,15,19
1,1,3410,25,11,14
1,1,2222,62,37,25
1,1,3236,116,65,51
1,1,5215,135,63,72
1,1,2805,46,25,21
1,1,2485,32,13,19
1,1,4171,108,57,51
1,1,3646,194,94,100
1,1,5404,159,71,88
1,1,2968,165,76,89
1,1,2697,131,62,69
1,1,1642,8,4,4
1,1,816,19,9,10
1,1,2502,89,38,51
2,1,3271,33,16,17
2,1,1533,3,0,3
2,1,1812,15,10,5
2,1,1848,37,17,20
2,1,464,6,4,2
2,1,2259,19,12,7
2,1,678,6,3,3
2,1,1757,21,13,8
2,1,1079,42,24,18
2,1,1109,6,4,2
2,1,2799,30,11,19
2,1,7245,61,33,28
2,1,24013,240,130,110
2,1,1648,10,6,4
2,1,1661,25,12,13
2,1,3554,7,4,3
2,1,2371,24,10,14
2,1,1376,3,1,2
2,1,1845,22,15,7
2,1,868,5,3,2
2,1,848,20,10,10
2,1,1570,15,7,8
2,1,1309,10,3,7
2,1,1032,2,1,1
2,1,993,22,9,13
2,1,1342,1,1,0
2,1,668,7,3,4
2,1,1084,7,4,3
2,1,1447,8,4,4
2,1,914,3,2,1
2,1,2122,21,8,13
2,1,2206,7,2,5
2,1,1583,5,3,2
2,1,3230,15,3,12
2,1,3944,21,13,8
2,1,4072,59,33,26
2,1,2277,10,3,7
2,1,1890,29,12,17
2,1,1816,13,9,4
2,1,1264,6,0,6
2,1,1227,20,6,14
2,1,892,3,1,2
2,1,816,4,0,4
2,1,690,6,2,4
2,1,619,6,3,3
2,1,681,26,10,16
2,1,1851,1,0,1
2,1,193,0,0,0
2,1,335,1,0,1
2,1,460,8,2,6
2,1,762,9,3,6
2,1,503,6,2,4
2,1,912,2,2,0
2,1,715,10,5,5
2,1,1545,18,7,11
2,1,1224,10,5,5
2,1,1352,87,44,43
2,1,1681,8,2,6
2,1,1801,14,10,4
2,1,2704,18,9,9
2,1,2787,53,27,26
2,1,992,4,4,0
2,1,1001,156,85,71
2,1,1365,215,116,99
2,1,823,67,33,34
2,1,833,7,4,3
2,1,792,13,8,5
2,1,765,2,2,0
2,1,748,15,9,6
2,1,917,10,2,8
2,1,1372,21,8,13
2,1,740,2,0,2
2,1,932,21,14,7
2,1,1137,26,15,11
2,1,1177,18,12,6
2,1,1026,22,13,9
2,1,854,6,2,4
2,1,1128,8,4,4
2,1,1047,5,2,3
2,1,882,1,1,0
2,1,729,19,12,7
2,1,1301,14,7,7
2,1,1059,10,4,6
2,1,891,11,6,5
2,1,1392,10,3,7
2,1,1518,20,6,14
2,1,2616,25,11,14
2,1,1190,22,11,11
2,1,1122,25,13,12
2,1,867,9,2,7
2,1,1125,22,14,8
2,1,1102,39,20,19
